Correct ratio,Noise_level,Reaction Time (s),Correct,Correct Note Number,Interference Note Number
0.3,0.3,13.148142282526264,False,5,4
0.3,0.3,14.754683408826466,True,5,6
0.23,0.6,0.957217693,True,3,7
0.23,0.6,1.1845858470497728,True,6,1
0.23,0.6,1.202646523638776,False,5,6
0.23,0.6,1.2304572034534,True,3,5
0.23,0.6,1.2494760140466423,True,6,3
0.23,0.6,1.536440372,False,5,2
0.23,0.6,1.708862387801922,False,3,1
0.23,0.6,1.754974127,True,4,7
0.23,0.6,1.7951717376708984,True,2,5
0.23,0.6,1.798974284060327,False,2,7
0.23,0.6,1.82937548732923,False,4,1
0.23,0.6,2.031388366760951,True,6,2
0.23,0.6,2.049644779408674,False,4,7
0.23,0.6,2.1435982932548,True,2,4
0.23,0.6,2.222206354,False,3,6
0.23,0.6,2.882282257080078,False,5,2
0.23,0.6,2.885272975068225,False,5,7
0.23,0.6,3.105800151824951,False,4,7
0.23,0.6,3.398214995540619,True,2,4
0.23,0.6,3.543126583099365,False,2,7
0.23,0.6,3.656758308410645,True,6,1
0.23,0.6,3.740396022796631,False,6,2
0.23,0.6,3.7629229590720223,True,6,7
0.23,0.6,3.793214062871299,False,6,5
0.23,0.6,3.811059892597205,False,6,3
0.23,0.6,3.852842904659134,False,2,4
0.23,0.6,4.129140957135249,False,5,6
0.23,0.6,4.205474138259888,False,3,6
0.23,0.6,4.439079284667969,False,4,1
0.23,0.6,4.628725290298462,True,6,3
0.23,0.6,4.717975259161435,False,4,2
0.23,0.6,5.370612804927292,False,6,3
0.23,0.6,5.434338592690488,True,5,3
0.23,0.6,5.8590850830078125,True,2,6
0.23,0.6,5.927368577720681,False,6,5
0.23,0.6,5.998248815536499,False,5,2
0.23,0.6,6.235837850856369,False,4,1
0.23,0.6,6.240864411072433,False,4,3
0.23,0.6,6.356263321512141,False,6,7
0.23,0.6,6.361104996044805,True,4,7
0.23,0.6,6.443285942077637,True,2,7
0.23,0.6,6.49022102355957,False,3,7
0.23,0.6,6.743343283801585,True,6,3
0.23,0.6,6.792275724861847,False,4,7
0.23,0.6,7.213768501418428,False,4,2
0.23,0.6,7.226655162426846,True,3,6
0.23,0.6,7.509238200586053,False,3,5
0.23,0.6,7.613000110604621,True,2,3
0.23,0.6,7.894920549804865,False,2,3
0.23,0.6,8.09318174138995,True,4,2
0.23,0.6,8.283895566126391,False,3,2
0.23,0.6,8.508238873125993,False,4,1
0.23,0.6,8.612435138859286,False,4,2
0.23,0.6,8.701916110220095,True,2,5
0.23,0.6,9.297142524716968,False,4,2
0.23,0.6,9.300767146413945,False,5,7
0.23,0.6,10.073538423557425,True,5,2
0.23,0.6,10.27787202290723,True,6,4
0.23,0.6,10.57780449611095,False,2,3
0.23,0.6,10.81632914876734,True,5,1
0.23,0.6,11.970442250435468,False,3,1
0.23,0.6,12.037802011630369,True,4,3
0.23,0.6,13.907667875289915,False,4,7
0.23,0.6,13.989436080193638,False,4,5
0.23,0.6,14.90092635154724,True,5,2
0.23,0.6,15.370918011416904,False,2,3
0.23,0.6,15.386827132087983,True,2,6
0.23,0.6,15.711795902044567,False,6,4
0.23,0.6,15.934438229,False,4,3
0.23,0.6,18.74755843583861,False,6,5
